File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
     259    3348.6588    -1.8250e+001
     260    3348.7077    -2.9750e+001
     261    3348.7566    -2.8750e+001
     262    3348.8055    -3.1500e+001
     263    3348.8543    -3.2500e+001
     264    3348.9032    -2.0750e+001
     265    3348.9521    -2.2750e+001
     266    3349.0010    -3.0250e+001
     267    3349.0499    -3.9000e+001
     268    3349.0987    -1.8250e+001
     269    3349.1476    -3.3750e+001
     270    3349.1965    -2.9750e+001
     271    3349.2454    -4.4250e+001
     272    3349.2942    -3.9000e+001
     273    3349.3431    -4.3250e+001
     274    3349.3920    -3.5000e+001
     275    3349.4409    -4.6250e+001
     276    3349.4897    -2.6750e+001
     277    3349.5386    -4.9750e+001
     278    3349.5875    -6.0500e+001
     279    3349.6364    -5.3500e+001
     280    3349.6852    -5.4750e+001
     281    3349.7341    -6.0500e+001
     282    3349.7830    -5.5500e+001
     283    3349.8319    -3.2750e+001
     284    3349.8807    -4.3750e+001
     285    3349.9296    -3.9500e+001
     286    3349.9785    -5.2500e+001
     287    3350.0274    -4.1750e+001
     288    3350.0762    -2.8500e+001
     289    3350.1251    -2.8750e+001
     290    3350.1740    -4.3500e+001
     291    3350.2229    -5.4500e+001
     292    3350.2717    -4.6750e+001
     293    3350.3206    -3.4500e+001
     294    3350.3695    -4.8750e+001
     295    3350.4184    -3.4500e+001
     296    3350.4673    -3.0750e+001
     297    3350.5161    -3.3500e+001
     298    3350.5650    -2.2500e+001
     299    3350.6139    -1.9750e+001
     300    3350.6628    -2.2750e+001
     301    3350.7116    -2.5500e+001
     302    3350.7605    -2.8500e+001
     303    3350.8094    -2.3500e+001
     304    3350.8583    -2.0750e+001
     305    3350.9071    -3.4750e+001
     306    3350.9560    -1.2500e+001
     307    3351.0049    -1.4500e+001
     308    3351.0538    -2.4750e+001
     309    3351.1026    -1.9500e+001
     310    3351.1515    -2.2750e+001
     311    3351.2004    -2.3500e+001
     312    3351.2493    -2.0500e+001
     313    3351.2981    -1.3750e+001
     314    3351.3470    -1.8750e+001
     315    3351.3959    -3.0250e+001
     316    3351.4448    -2.9000e+001
     317    3351.4936    -1.1250e+001
     318    3351.5425    -2.0750e+001
     319    3351.5914    -1.8750e+001
     320    3351.6403    -1.4500e+001
     321    3351.6891    -1.2500e+001
     322    3351.7380     5.2500e+000
     323    3351.7869    -1.2500e+001
     324    3351.8358    -2.0750e+001
     325    3351.8847    -4.5000e+000
     326    3351.9335    -1.6500e+001
     327    3351.9824    -8.7500e+000
     328    3352.0313    -5.7500e+000
     329    3352.0802    -2.0250e+001
     330    3352.1290    -1.3000e+001
     331    3352.1779    -8.2500e+000
     332    3352.2268    -1.9750e+001
     333    3352.2757    -1.9750e+001
     334    3352.3245     5.0000e-001
     335    3352.3734    -1.9500e+001
     336    3352.4223    -1.6750e+001
     337    3352.4712    -1.7500e+001
     338    3352.5200    -1.8750e+001
     339    3352.5689    -9.5000e+000
     340    3352.6178    -7.7500e+000
     341    3352.6667    -4.2500e+000
     342    3352.7155    -1.8000e+001
     343    3352.7644    -1.0500e+001
     344    3352.8133    -1.5500e+001
     345    3352.8622     2.5000e-001
     346    3352.9110    -1.5500e+001
     347    3352.9599    -1.5000e+000
     348    3353.0088     1.2500e+000
     349    3353.0577    -3.7500e+000
     350    3353.1065    -2.4250e+001
     351    3353.1554    -5.0000e+000
     352    3353.2043    -4.2500e+000
     353    3353.2532    -1.5750e+001
     354    3353.3021    -1.3750e+001
     355    3353.3509    -1.6500e+001
     356    3353.3998    -1.6500e+001
     357    3353.4487    -1.5750e+001
     358    3353.4976    -1.3500e+001
     359    3353.5464    -6.7500e+000
     360    3353.5953    -2.2500e+001
     361    3353.6442    -9.7500e+000
     362    3353.6931    -7.5000e+000
     363    3353.7419    -1.6500e+001
     364    3353.7908    -2.6750e+001
     365    3353.8397    -2.6500e+001
     366    3353.8886    -1.2750e+001
     367    3353.9374    -1.7500e+001
     368    3353.9863    -1.7500e+000
     369    3354.0352    -4.5000e+000
     370    3354.0841    -2.5000e+000
     371    3354.1329    -1.0750e+001
     372    3354.1818    -6.5000e+000
     373    3354.2307    -1.1750e+001
     374    3354.2796    -1.2500e+001
     375    3354.3284    -9.7500e+000
     376    3354.3773    -1.9500e+001
     377    3354.4262    -1.2500e+001
     378    3354.4751    -2.5750e+001
     379    3354.5239    -1.3500e+001
     380    3354.5728    -2.5750e+001
     381    3354.6217    -1.2500e+001
     382    3354.6706    -1.1750e+001
     383    3354.7195    -1.8500e+001
     384    3354.7683    -1.8500e+001
     385    3354.8172    -1.8750e+001
     386    3354.8661    -8.5000e+000
     387    3354.9150    -6.7500e+000
     388    3354.9638     9.5000e+000
     389    3355.0127     6.2500e+000
     390    3355.0616    -9.5000e+000
     391    3355.1105    -2.4500e+001
     392    3355.1593    -1.0750e+001
     393    3355.2082    -1.4500e+001
     394    3355.2571    -7.7500e+000
     395    3355.3060    -1.6500e+001
     396    3355.3548    -1.1750e+001
     397    3355.4037    -7.5000e+000
     398    3355.4526    -1.1500e+001
     399    3355.5015    -2.2750e+001
     400    3355.5503    -2.5000e+000
     401    3355.5992    -1.7750e+001
     402    3355.6481    -9.5000e+000
     403    3355.6970     1.2500e+000
     404    3355.7458    -1.0500e+001
     405    3355.7947    -2.5000e+000
     406    3355.8436    -7.5000e-001
     407    3355.8925     4.5000e+000
     408    3355.9413    -7.5000e-001
     409    3355.9902    -2.1500e+001
     410    3356.0391    -1.4750e+001
     411    3356.0880    -1.7500e+001
     412    3356.1369     1.5000e+000
     413    3356.1857    -4.7500e+000
     414    3356.2346     1.2250e+001
     415    3356.2835    -4.2500e+000
     416    3356.3324     0.0000e+000
     417    3356.3812     8.7500e+000
     418    3356.4301     7.2500e+000
     419    3356.4790     4.2500e+000
     420    3356.5279    -4.5000e+000
     421    3356.5767     1.2500e+001
     422    3356.6256     5.2500e+000
     423    3356.6745     2.2500e+001
     424    3356.7234     2.0500e+001
     425    3356.7722     1.6000e+001
     426    3356.8211     4.4750e+001
     427    3356.8700     2.7250e+001
     428    3356.9189     4.0500e+001
     429    3356.9677     3.8250e+001
     430    3357.0166     5.5500e+001
     431    3357.0655     6.0250e+001
     432    3357.1144     6.1500e+001
     433    3357.1632     8.2500e+001
     434    3357.2121     7.3250e+001
     435    3357.2610     8.7250e+001
     436    3357.3099     8.9750e+001
     437    3357.3587     7.6000e+001
     438    3357.4076     8.7750e+001
     439    3357.4565     1.0325e+002
     440    3357.5054     1.2925e+002
     441    3357.5543     1.1150e+002
     442    3357.6031     1.3450e+002
     443    3357.6520     1.2525e+002
     444    3357.7009     1.3450e+002
     445    3357.7498     1.4325e+002
     446    3357.7986     1.5550e+002
     447    3357.8475     1.3850e+002
     448    3357.8964     1.4325e+002
     449    3357.9453     1.3425e+002
     450    3357.9941     1.0875e+002
     451    3358.0430     1.3600e+002
     452    3358.0919     1.2175e+002
     453    3358.1408     9.9250e+001
     454    3358.1896     8.7250e+001
     455    3358.2385     9.8500e+001
     456    3358.2874     9.5500e+001
     457    3358.3363     7.4250e+001
     458    3358.3851     7.0500e+001
     459    3358.4340     6.4250e+001
     460    3358.4829     6.5500e+001
     461    3358.5318     5.6500e+001
     462    3358.5806     4.3250e+001
     463    3358.6295     4.9250e+001
     464    3358.6784     3.4750e+001
     465    3358.7273     4.3000e+001
     466    3358.7761     5.3750e+001
     467    3358.8250     4.2250e+001
     468    3358.8739     5.0250e+001
     469    3358.9228     6.7500e+001
     470    3358.9717     7.9500e+001
     471    3359.0205     1.0825e+002
     472    3359.0694     1.3750e+002
     473    3359.1183     1.6625e+002
     474    3359.1672     1.8550e+002
     475    3359.2160     2.3925e+002
     476    3359.2649     2.8150e+002
     477    3359.3138     3.3950e+002
     478    3359.3627     4.1125e+002
     479    3359.4115     4.9450e+002
     480    3359.4604     5.8325e+002
     481    3359.5093     6.9550e+002
     482    3359.5582     8.1450e+002
     483    3359.6070     9.3725e+002
     484    3359.6559     1.0903e+003
     485    3359.7048     1.2095e+003
     486    3359.7537     1.3855e+003
     487    3359.8025     1.5693e+003
     488    3359.8514     1.7465e+003
     489    3359.9003     1.9535e+003
     490    3359.9492     2.1773e+003
     491    3359.9980     2.3903e+003
     492    3360.0469     2.6038e+003
     493    3360.0958     2.8060e+003
     494    3360.1447     3.0118e+003
     495    3360.1935     3.1890e+003
     496    3360.2424     3.3718e+003
     497    3360.2913     3.5273e+003
     498    3360.3402     3.6713e+003
     499    3360.3891     3.7748e+003
     500    3360.4379     3.8580e+003
     501    3360.4868     3.8805e+003
     502    3360.5357     3.8775e+003
     503    3360.5846     3.8305e+003
     504    3360.6334     3.7450e+003
     505    3360.6823     3.5990e+003
     506    3360.7312     3.4020e+003
     507    3360.7801     3.1665e+003
     508    3360.8289     2.8840e+003
     509    3360.8778     2.5410e+003
     510    3360.9267     2.1910e+003
     511    3360.9756     1.7795e+003
     512    3361.0244     1.3545e+003
     513    3361.0733     9.1400e+002
     514    3361.1222     4.4900e+002
     515    3361.1711    -3.1000e+001
     516    3361.2199    -5.0050e+002
     517    3361.2688    -9.4800e+002
     518    3361.3177    -1.3540e+003
     519    3361.3666    -1.7750e+003
     520    3361.4154    -2.1525e+003
     521    3361.4643    -2.4805e+003
     522    3361.5132    -2.7675e+003
     523    3361.5621    -3.0090e+003
     524    3361.6109    -3.2185e+003
     525    3361.6598    -3.3765e+003
     526    3361.7087    -3.5035e+003
     527    3361.7576    -3.5435e+003
     528    3361.8065    -3.5740e+003
     529    3361.8553    -3.5685e+003
     530    3361.9042    -3.5225e+003
     531    3361.9531    -3.4355e+003
     532    3362.0020    -3.3290e+003
     533    3362.0508    -3.1690e+003
     534    3362.0997    -3.0250e+003
     535    3362.1486    -2.8535e+003
     536    3362.1975    -2.6910e+003
     537    3362.2463    -2.5070e+003
     538    3362.2952    -2.3120e+003
     539    3362.3441    -2.1265e+003
     540    3362.3930    -1.9535e+003
     541    3362.4418    -1.7720e+003
     542    3362.4907    -1.6045e+003
     543    3362.5396    -1.4230e+003
     544    3362.5885    -1.2795e+003
     545    3362.6373    -1.1440e+003
     546    3362.6862    -1.0065e+003
     547    3362.7351    -8.9900e+002
     548    3362.7840    -7.7350e+002
     549    3362.8328    -7.0850e+002
     550    3362.8817    -6.1100e+002
     551    3362.9306    -5.3400e+002
     552    3362.9795    -4.6700e+002
     553    3363.0283    -4.1650e+002
     554    3363.0772    -3.6250e+002
     555    3363.1261    -3.1200e+002
     556    3363.1750    -2.7500e+002
     557    3363.2239    -2.4300e+002
     558    3363.2727    -2.0650e+002
     559    3363.3216    -1.7700e+002
     560    3363.3705    -1.6000e+002
     561    3363.4194    -1.6000e+002
     562    3363.4682    -1.4650e+002
     563    3363.5171    -1.4750e+002
     564    3363.5660    -1.3250e+002
     565    3363.6149    -1.3100e+002
     566    3363.6637    -1.2750e+002
     567    3363.7126    -1.3450e+002
     568    3363.7615    -1.3550e+002
     569    3363.8104    -1.3300e+002
     570    3363.8592    -1.3700e+002
     571    3363.9081    -1.5500e+002
     572    3363.9570    -1.4650e+002
     573    3364.0059    -1.5900e+002
     574    3364.0547    -1.5900e+002
     575    3364.1036    -1.6900e+002
     576    3364.1525    -1.6350e+002
     577    3364.2014    -1.6950e+002
     578    3364.2502    -1.8150e+002
     579    3364.2991    -1.9000e+002
     580    3364.3480    -1.8450e+002
     581    3364.3969    -1.9950e+002
     582    3364.4457    -1.8650e+002
     583    3364.4946    -1.7800e+002
     584    3364.5435    -1.6900e+002
     585    3364.5924    -1.8200e+002
     586    3364.6413    -1.6750e+002
     587    3364.6901    -1.7300e+002
     588    3364.7390    -1.6700e+002
     589    3364.7879    -1.6100e+002
     590    3364.8368    -1.5550e+002
     591    3364.8856    -1.5050e+002
     592    3364.9345    -1.4800e+002
     593    3364.9834    -1.2900e+002
     594    3365.0323    -1.1900e+002
     595    3365.0811    -1.1950e+002
     596    3365.1300    -1.2450e+002
     597    3365.1789    -1.1500e+002
     598    3365.2278    -1.0600e+002
     599    3365.2766    -1.0400e+002
     600    3365.3255    -8.3500e+001
     601    3365.3744    -9.3000e+001
     602    3365.4233    -6.7000e+001
     603    3365.4721    -6.9000e+001
     604    3365.5210    -6.5500e+001
     605    3365.5699    -7.9500e+001
     606    3365.6188    -6.3000e+001
     607    3365.6676    -5.7000e+001
     608    3365.7165    -4.9000e+001
     609    3365.7654    -6.7500e+001
     610    3365.8143    -4.9500e+001
     611    3365.8631    -5.0000e+001
     612    3365.9120    -4.4500e+001
     613    3365.9609    -5.9500e+001
     614    3366.0098    -5.0500e+001
     615    3366.0587    -4.6500e+001
     616    3366.1075    -4.4000e+001
     617    3366.1564    -3.7000e+001
     618    3366.2053    -2.2000e+001
     619    3366.2542    -2.9000e+001
     620    3366.3030    -4.1000e+001
     621    3366.3519    -4.9000e+001
     622    3366.4008    -3.5000e+001
     623    3366.4497    -4.3500e+001
     624    3366.4985    -4.5000e+001
     625    3366.5474    -2.9500e+001
