,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
398,480616,1107553436,2016-03-11T00:00:00,1225.0,,,CA,201602.0,,WNBG,MH,BR,18211 TOPHAM S/S,10X6,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
399,480656,1108798935,2016-03-10T00:00:00,1505.0,,,CA,201507.0,,TOYO,PA,BR,9121 SEPULVEDA BL,19X74,1.0,4000A1,NO EVIDENCE OF REG,50.0,6420310.2,1908557.4
400,480740,1109127316,2016-03-06T00:00:00,1705.0,,,CA,201603.0,,TOYO,PA,BR,WEST OBSERVATORY RD,,4.0,024,22514,68.0,99999.0,99999.0
401,480862,1109937371,2016-03-04T00:00:00,1350.0,,,CA,201510.0,,SWND,TR,BR,94TH ST/HINDRY PL,14A67,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
402,480875,1109937802,2016-03-09T00:00:00,915.0,,,CA,201602.0,,TOYO,PA,BR,ISIS AVE/ARBOR VITAE,14A67,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
403,481046,1110477712,2016-03-06T00:00:00,2147.0,,,CA,201509.0,,CHEV,PA,BR,COLLETT/LIGGETT,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
404,481170,1112999333,2016-03-07T00:00:00,230.0,,,CA,201603.0,,CHEV,TR,BR,816 E 23RD ST,13Z1,1.0,013,22500H,68.0,99999.0,99999.0
405,481193,1113003706,2016-03-05T00:00:00,1755.0,,,CA,201507.0,,MERC,VN,BR,801 E 41ST PL,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
406,481194,1113003721,2016-03-05T00:00:00,1825.0,,,CA,201510.0,,FORD,TR,BR,464 E 42ND PL,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
407,481204,1113006510,2016-03-03T00:00:00,430.0,,,CA,201604.0,,FORD,TR,BR,WALL ST/51ST,13Z1,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
408,481216,1113953540,2016-03-14T00:00:00,826.0,,,CA,201611.0,,JEEP,PA,BR,1142 S SHERBOURNE DR,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6446750.0,1843147.3
409,481224,1113953621,2016-03-14T00:00:00,901.0,,,CA,201608.0,,NISS,PA,BR,9005 KINCARDINE AV,00146,51.0,8069AA,NO STOP/STAND AM,93.0,6443507.7,1834591.4
410,481235,1113953735,2016-03-14T00:00:00,1141.0,PM44,,CA,201608.0,,AUDI,PA,BR,3265 MOTOR AV,00146,51.0,8813B,METER EXPIRED,63.0,6437086.0,1833536.4
411,481268,1114006132,2016-03-14T00:00:00,1101.0,,,CA,201601.0,,CHEV,TR,BR,1655 S LONGWOOD AVE,00149,51.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
412,481269,1114006143,2016-03-14T00:00:00,1101.0,,,CA,201601.0,,CHEV,TR,BR,1655 S LONGWOOD AVE,00149,51.0,8069C,PKD OVER TIME LIMIT,58.0,99999.0,99999.0
413,481296,1114049451,2016-03-14T00:00:00,824.0,,,CA,201605.0,,TOYO,VN,BR,2539 S CLOVERDALE AV,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6453472.7,1834625.9
414,481367,1114059973,2016-03-14T00:00:00,1846.0,,,CA,201605.0,,MAZD,PA,BR,2367 S MIDVALE AVE,00201,51.0,8058L,PREF PARKING,68.0,6431369.8,1837351.9
415,489673,1113953411,2016-03-15T00:00:00,1010.0,,,CA,201603.0,,LEXU,PA,BR,1416 CRESCENT HGTS,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
416,489685,1113953945,2016-03-15T00:00:00,812.0,PR21,,VA,201608.0,,HOND,,BR,1260 S WOOSTER ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6445783.1,1842634.2
417,489694,1113954030,2016-03-15T00:00:00,1210.0,,,CA,201607.0,,HOND,PA,BR,1115 S GLENVILLE DR,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6442681.3,1843358.7
418,489763,1114005771,2016-03-15T00:00:00,823.0,,,CA,201605.0,,TOYO,TR,BR,2546 S CARMONA AVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
419,489769,1114005830,2016-03-15T00:00:00,1026.0,,,CA,201610.0,,HOND,PA,BR,2106 S RIDGELEY DR,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
420,489773,1114005874,2016-03-15T00:00:00,1038.0,,,CA,201603.0,,VOLK,PA,BR,2224 S DUNSMUIR AVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
421,499606,1108718505,2016-02-13T00:00:00,1755.0,,,CA,201610.0,,AUDI,SU,BR,2683 ORCHARD,3SL19,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
422,499682,1109344876,2016-03-12T00:00:00,1445.0,,,CA,201609.0,,NISS,SU,BR,624 W 40TH PL,MQ,1.0,013,22500H,68.0,99999.0,99999.0
423,499695,1109347260,2016-02-29T00:00:00,930.0,,,CA,201501.0,,CHEV,PA,BR,BROADWAY N/O 102ND,25MQ1,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
424,499725,1110591252,2016-03-12T00:00:00,1719.0,BH192,,CA,201611.0,,PONT,PA,BR,251 BREED,00600,56.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
425,499754,1111195455,2016-03-17T00:00:00,827.0,,,CA,201703.0,,TOYO,PA,BR,1958 N ECHO PARK AV,00672,56.0,8069BS,NO PARK/STREET CLEAN,73.0,6485814.0,1854203.0
426,499978,1112155041,2016-03-01T00:00:00,1002.0,,,CA,201608.0,,FORD,PA,BR,380 WORLD WAY L/L,2C9B,2.0,8939,WHITE CURB,58.0,6439920.1,1802686.7
427,499995,1112166171,2016-03-03T00:00:00,1255.0,,,CA,201609.0,,HYUN,PA,BR,203 WORLD WAY,5M35,2.0,000,17104c,,6438463.2,1802510.6
428,500014,1112167626,2016-02-19T00:00:00,1700.0,,,CA,201612.0,,TOYO,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
429,500015,1112167630,2016-02-29T00:00:00,1720.0,,,CA,201511.0,,VW,PA,BR,7610 WOODLEY AVE,2C12,11.0,5204A,EXPIRED TAGS,25.0,6415432.1,1898663.3
430,500018,1112167663,2016-02-29T00:00:00,1805.0,,,TX,201601.0,,NISS,PA,BR,7610 WOODLEY AVE,2C12,11.0,4000A1,NO EVIDENCE OF REG,50.0,6415432.1,1898663.3
431,500077,1112172935,2016-02-23T00:00:00,2105.0,,,CA,201612.0,,LEXU,PA,BR,601 W/W 4D,00024,2.0,8940,PARKING AREA,58.0,99999.0,99999.0
432,500153,1112175013,2016-03-01T00:00:00,1615.0,,,CA,201512.0,,HYUN,PA,BR,401 W/W 3L,00024,2.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
433,500260,1112181560,2016-02-29T00:00:00,952.0,,,CA,201603.0,,NISS,SU,BR,9100 JENNY AVE 31A,5M47,2.0,8940,PARKING AREA,58.0,6443574.5,1805906.7
434,500324,1112188265,2016-03-15T00:00:00,2345.0,,,CA,201609.0,,CADI,PA,BR,6221 W 96TH ST,2A315,2.0,555,5201F,25.0,6442059.6,1803997.6
435,500329,1112191264,2016-03-15T00:00:00,2255.0,,,CA,201604.0,,CHRY,PA,BR,5932 CENTURY BLVD,3A314,2.0,80714,PRIVATE PROPERTY,68.0,99999.0,99999.0
436,500355,1112600834,2016-03-17T00:00:00,428.0,,,UT,201609.0,,PB,TR,BR,311 E G ST,00500,55.0,8069B,NO PARKING,73.0,99999.0,99999.0
437,500405,1114001976,2016-03-16T00:00:00,1128.0,PW84,,CA,201703.0,,TOYO,PA,BR,2390 MALCOLM AV,00146,51.0,8813B,METER EXPIRED,63.0,6432389.1,1837662.0
438,508682,1107828724,2016-03-16T00:00:00,240.0,,,CA,201601.0,,TOYO,PA,BR,1951 S HOLT AVE,8Z1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
439,508846,1112619756,2016-03-17T00:00:00,1256.0,,,CA,201612.0,,CHEV,TR,BR,1861 W 43 PL,,55.0,010,22500E,68.0,99999.0,99999.0
440,508897,1114002621,2016-03-18T00:00:00,1050.0,PM2,,CA,201701.0,,TOYO,PA,BR,10434 NATIONAL BL,00146,51.0,8813B,METER EXPIRED,63.0,6436975.0,1833108.2
441,508938,1114081124,2016-03-18T00:00:00,811.0,,,CA,201609.0,,FIAT,PA,BR,731 N ST ANDREWS PL,00443,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
442,517388,1109203605,2016-03-12T00:00:00,1243.0,,,CA,201611.0,,HOND,PA,BR,2800 E OBSERVATORY,,4.0,024,22514,68.0,6470141.4,1867430.4
443,517419,1109814790,2016-03-17T00:00:00,1950.0,,,CO,201612.0,,VOLK,VN,BR,MINERAL WELLS/GRIFFI,,1.0,8603,PK IN PROH AREA,68.0,99999.0,99999.0
444,517453,1111200311,2016-03-21T00:00:00,1301.0,YO16,,NY,201508.0,,VOLV,SU,BR,1310 N AVE 51,00675,56.0,8813B,METER EXPIRED,63.0,6499701.4,1866537.4
445,517475,1112157141,2016-03-18T00:00:00,57.0,,,CA,201510.0,,FORD,TR,BR,401 WORLD WAY SEC 3B,3F92,2.0,4000A1,NO EVIDENCE OF REG,50.0,6437904.4,1801967.7
446,525253,1107639713,2016-03-13T00:00:00,1630.0,,,CA,201401.0,,TOYO,TR,BR,TRINITY S/O 36TH,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
447,525338,1109800624,2016-03-16T00:00:00,905.0,,,CA,201602.0,,HOND,PA,BR,1506 RUEZ LANE,4H23,1.0,80714,PRIVATE PROPERTY,68.0,99999.0,99999.0
448,525421,1109897003,2016-03-18T00:00:00,900.0,,,CA,201510.0,,SWND,RV,BR,ISIS AVE/93RD ST,14A67,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
449,525462,1109989112,2016-03-17T00:00:00,120.0,,,CA,201607.0,,TOYO,,BR,S/W/C 42ND PL/MAIN,13A41,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
450,525637,1112563723,2016-02-21T00:00:00,1420.0,,,CA,201701.0,,HYUN,SU,BR,HAMPTON/INDIANA,20M18,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
451,525809,1112844482,2016-02-21T00:00:00,1345.0,,,CA,201505.0,,CHEV,PA,BR,5330 ARBOR VITAE ST,01489,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
452,533975,1105796661,2016-03-16T00:00:00,155.0,,,CA,201507.0,,TOYO,PA,BR,WAKEFIELD AVE/ROSCOE,19Z5,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
453,544545,1110246896,2016-03-16T00:00:00,650.0,,,CA,201603.0,,FRHT,TL,BR,FOREST LAWN/MEMORIAL,CM86,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
454,544549,1110246933,2016-03-16T00:00:00,945.0,,,CA,,,FRHT,TL,BR,ACADEMY RD/ACADEMY,CM86,1.0,80691,PK TRLR-PUBL AR,55.0,99999.0,99999.0
455,544632,1113985213,2016-03-24T00:00:00,1228.0,,,CA,201701.0,,TOYO,PA,BR,3514 S VETERAN AVE,00147,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
456,544752,1114217915,2016-03-24T00:00:00,716.0,,,CA,201604.0,,HOND,PA,BR,2880 W OLYMPIC BL,00403,54.0,8070,PARK IN GRID LOCK ZN,163.0,99999.0,99999.0
457,556200,1107339586,2016-03-23T00:00:00,1335.0,,,CA,201702.0,,HOND,PA,BR,,5SL1,1.0,011,22500F,68.0,99999.0,99999.0
458,556391,1110282924,2016-03-16T00:00:00,1120.0,,,CA,201508.0,,MERC,PA,BR,TRIAR/NOBLE,MQ16,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
459,556424,1111191093,2016-03-25T00:00:00,441.0,,,CA,,,PONT,PA,BR,500 BLK S UNION DR,00600,56.0,8056E4,RED ZONE,93.0,99999.0,99999.0
460,564157,1110243385,2016-03-22T00:00:00,635.0,,,CA,201612.0,,FREI,TR,BR,FOREST LAWN/MEMORIAL,CM87,1.0,8069A,NO STOPPING/STANDING,93.0,99999.0,99999.0
461,564169,1112101734,2016-03-07T00:00:00,421.0,,,CA,201603.0,,CHEV,TR,BR,600 WORLD WAY,0B174,2.0,8936,RED CURB,93.0,6439825.1,1802687.1
462,564354,1113999876,2016-03-29T00:00:00,1205.0,,,CA,201605.0,,TOYO,PA,BR,1537 S ORANGE GROVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
463,564398,1114002466,2016-03-28T00:00:00,1506.0,PW211,,CA,201609.0,,PORS,PA,BR,10921 W PICO BL,313W,51.0,8813B,METER EXPIRED,63.0,6431315.7,1836953.5
464,564406,1114006294,2016-03-25T00:00:00,2205.0,,,CA,201606.0,,MERZ,PA,BR,1901 S ARMACOST AVE,00201,51.0,8069B,NO PARKING,73.0,6423707.3,1835892.9
465,564592,1115743565,2016-03-13T00:00:00,926.0,,,CA,201602.0,,HOND,PA,BR,1508 SHERBOURNE DR,8A59,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
466,572521,1108195594,2016-03-24T00:00:00,1155.0,,,CA,201604.0,,CHEV,TR,BR,MANCHESTER AV/KENTWO,14SL7,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
467,572526,1108195642,2016-03-24T00:00:00,1345.0,,,CA,201603.0,,FORD,RV,BR,91ST/STANMOOR DR,14SL7,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
468,572622,1109128053,2016-03-13T00:00:00,1651.0,,,OR,201801.0,,COOP,PA,BR,6207 MULHOLLAND HWY,,4.0,8058L,PREF PARKING,68.0,6463982.3,1869556.7
469,572646,1109192162,2016-03-22T00:00:00,1455.0,,,CA,201612.0,,MASE,PA,BR,WESTERN CYN RD,,4.0,8049,WRG SD/NOT PRL,63.0,99999.0,99999.0
470,572751,1109937850,2016-03-25T00:00:00,850.0,,,CA,200916.0,,BUIC,PA,BR,95TH ST/ISIS AVE,14A67,1.0,000,26708A1,,99999.0,99999.0
471,572780,1110137022,2016-03-23T00:00:00,1545.0,,,CA,201604.0,,BOUN,MH,BR,STANFORD AVE/116TH,18SL6,1.0,80731,STORING VEH/ON STR,93.0,99999.0,99999.0
472,572936,1112995682,2016-03-21T00:00:00,1025.0,,,CA,201507.0,,NISS,PA,BR,MCGARRY ST/53RD ST,13A85,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
473,572980,1113998303,2016-03-30T00:00:00,828.0,,,CA,201611.0,,TOYO,PA,BR,3676 VINTON AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6438954.4,1831284.4
474,572997,1113998476,2016-03-30T00:00:00,1026.0,,,CA,201603.0,,MERC,PA,BR,10740 CHARNOCK RD,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6437217.3,1830689.0
475,573004,1113998546,2016-03-30T00:00:00,1042.0,,,CA,201601.0,,HOND,PA,BR,10800 CHARNOCK RD,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6436879.2,1830466.4
476,573022,1114057895,2016-03-16T00:00:00,1143.0,,,CA,201612.0,,CHRY,PA,BR,8655 SEPULVEDA BL,00139,51.0,2251156B,MISUSE/DP PRIVILEGE,363.0,6441541.0,1807735.8
477,573023,1114057906,2016-03-16T00:00:00,1146.0,,,CA,201612.0,,CHRY,PA,BR,8655 SEPULVEDA BL,139B,51.0,225078A,HANDICAP/NO DP ID,363.0,6441541.0,1807735.8
478,573040,1114086761,2016-03-30T00:00:00,216.0,,,CA,201611.0,,HYUN,PA,BR,900 S ARDMORE,00401,54.0,8056E4,RED ZONE,93.0,99999.0,99999.0
479,573115,1115743381,2016-03-20T00:00:00,830.0,,,CA,201603.0,,TOYO,PA,BR,8702 CATTARAUGUS AV,8A59,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
480,582882,1110850016,2016-03-31T00:00:00,1310.0,,,CA,201604.0,,MAZD,PA,BR,1163 S BRONSON AVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
481,582970,1112123003,2016-03-23T00:00:00,1910.0,,,CA,200317.0,,CHEV,PA,BR,600 LOWER LEVEL,3C304,2.0,000,17104h,,99999.0,99999.0
482,583168,1112170032,2016-03-15T00:00:00,1045.0,,,CA,201611.0,,TOYO,PA,BR,7610 WOODLEY AVE,1C15,11.0,80714,PRIVATE PROPERTY,68.0,6415432.1,1898663.3
483,583181,1112175212,2016-03-17T00:00:00,1700.0,,,CA,201509.0,,NISS,PA,BR,2A W/W 1G,00024,2.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
484,583318,1112192852,2016-03-21T00:00:00,1722.0,,,CA,201605.0,,CHEV,TR,BR,380 WORLD WAY L/L,3C195,2.0,8936,RED CURB,93.0,6439920.1,1802686.7
485,583424,1113996472,2016-03-31T00:00:00,1305.0,PR332,,CA,201703.0,,TOYO,PA,BR,1260 GLENVILLE DR,00146,51.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
486,583428,1113996516,2016-03-31T00:00:00,1006.0,,,CA,201607.0,,MERZ,PA,BR,10751 ROSE AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6436083.2,1832194.1
487,583450,1113996730,2016-03-31T00:00:00,1046.0,,,CA,201611.0,,NISS,PA,BR,10835 CHARNOCK RD,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6436491.7,1830211.0
488,583514,1114109964,2016-03-28T00:00:00,1009.0,,,CA,201612.0,,HOND,PA,BR,HOLLYWOOD BL/ORANGE,6FB1,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
489,583517,1115833250,2016-03-23T00:00:00,2233.0,,,CA,201608.0,,TOYO,,BR,FIGUEROA/CHICKHEARN,1FB95,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
490,583542,1115847515,2016-03-25T00:00:00,210.0,,,CA,201603.0,,CHEV,PA,BR,INDUSTRIAL/CENTRAL,00158,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
491,598610,1107723330,2016-02-22T00:00:00,1750.0,,,CA,201508.0,,NISS,PA,BR,L ST/AVALON ST,5A24,1.0,225078A,HANDICAP/NO DP ID,363.0,99999.0,99999.0
492,598653,1109258334,2015-08-03T00:00:00,832.0,,,CA,201607.0,,KIA,PA,BR,1032 N RAMPART BL,00448,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
493,598679,1109342706,2016-03-23T00:00:00,1825.0,,,CA,201502.0,,CHEV,PA,BR,11009 S SAN PEDRO ST,MQ,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
494,598767,1110849832,2016-04-04T00:00:00,1011.0,,,CA,201611.0,,TOYO,PA,BR,2414 S CLYDE AVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
495,598777,1110849935,2016-04-04T00:00:00,1040.0,,,CA,201611.0,,CHEV,PA,BR,2128 S COCHRAN AVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
496,598803,1112164830,2016-04-01T00:00:00,1545.0,,,CA,201610.0,,,TR,BR,100 WORLD WAY,2R1,2.0,8939,WHITE CURB,58.0,6440041.1,1802686.2
497,598917,1113991056,2016-04-04T00:00:00,1234.0,,,CA,201611.0,,TOYO,PA,BR,1757 S OGDEN DRIVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
498,598918,1113991060,2016-04-04T00:00:00,1235.0,,,CA,201605.0,,MITS,PA,BR,1763 S OGDEN DRIVE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
499,598929,1113994044,2016-04-04T00:00:00,838.0,,,CA,201611.0,,JEEP,PA,BR,8636 WHITWORTH DR,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6446703.7,1843391.3
500,598931,1113994066,2016-04-04T00:00:00,844.0,,,VA,201608.0,,HOND,VN,BR,1138 S CORNING ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6447376.6,1843228.2
501,598935,1113994103,2016-04-04T00:00:00,1009.0,,,CA,201610.0,,HOND,PA,BR,6086 ALCOTT ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6448428.5,1841498.1
502,598953,1113994641,2016-04-04T00:00:00,810.0,,,CA,201608.0,,TOYO,PA,BR,1005 S WOOSTER ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6445831.5,1844174.5
503,606351,1110486473,2016-03-26T00:00:00,2300.0,,,CA,200115.0,,CHEV,VN,BR,OLINDA ST/NORRIS AVE,16EL1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
504,606446,1113990846,2016-04-05T00:00:00,1121.0,,,CA,201605.0,,GMC,TR,BR,2300 S MARVIN AVENUE,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6451573.3,1835922.1
505,606456,1113990942,2016-04-05T00:00:00,1250.0,,,CA,201611.0,,TOYO,PA,BR,1440 S SIERRA BONITA,00149,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
506,606528,1113995245,2016-04-05T00:00:00,830.0,,,VA,201608.0,,HOND,VN,BR,8511 WHITWORTH DR,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6447654.8,1843367.0
507,606600,1114104294,2016-03-28T00:00:00,120.0,,,CA,201009.0,,DODG,RV,BR,6001 WILLOUGHBY,00677,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
508,614354,1103986763,2016-03-26T00:00:00,1830.0,,,CA,201606.0,,BUIC,PA,BR,105TH ST/FIRTH AV,00018,1.0,011,22500F,68.0,99999.0,99999.0
509,614433,1111556666,2016-04-06T00:00:00,915.0,,,WA,201608.0,,CHEV,PA,BR,9700 W EXPOSITION BL,00141,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
510,614536,1112913314,2016-04-06T00:00:00,120.0,,,CA,201702.0,,NISS,PA,BR,856 W 83RD ST,00500,55.0,011,22500F,68.0,99999.0,99999.0
511,614614,1114007753,2016-04-06T00:00:00,1325.0,PR88,,CA,201609.0,,JEEP,PA,BR,8817 W PICO BL,00146,51.0,8813B,METER EXPIRED,63.0,6445335.0,1842559.3
512,614640,1114008184,2016-04-06T00:00:00,1031.0,,,CT,,,HOND,PA,BR,10817 TABOR ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6436535.7,1830609.9
513,623074,1108179671,2016-04-01T00:00:00,1800.0,,,CA,201602.0,,FORD,TR,BR,OCEAN FRONT WLK/WASH,14FB4,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
514,623083,1109060002,2016-03-27T00:00:00,1713.0,,,CA,201512.0,,HOND,PA,BR,204 E 28TH,MQ41,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
515,623197,1111879322,2016-04-06T00:00:00,1800.0,,,CA,201512.0,,GMC,TR,BR,LOT G/GREENLINE,2L315,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
516,623288,1112172040,2016-03-31T00:00:00,1625.0,,,CA,201611.0,,BENZ,PA,BR,380 WORLD WAY,3C206,2.0,8939,WHITE CURB,58.0,6439920.1,1802686.7
517,623308,1112178616,2016-03-30T00:00:00,2016.0,,,CA,201612.0,,MERZ,PA,BR,600 WORLD WAY L/L,3C13B,2.0,007,22500B,68.0,6439825.1,1802687.1
518,623404,1112510674,2016-04-01T00:00:00,1250.0,,,CA,201610.0,,JAGR,PA,BR,700 N DOMINGUEZ,M71,3.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
519,623427,1112902545,2016-04-07T00:00:00,748.0,,,CA,201602.0,,JEEP,PA,BR,8000 W WILLOUGHBY AV,3RD,54.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
520,623535,1115743053,2016-03-27T00:00:00,1300.0,,,CA,201302.0,,MAZD,PA,BR,1833 S LA CIENEGA BL,8A59,1.0,4000A1,NO EVIDENCE OF REG,50.0,6447540.2,1838564.2
521,630952,1107576971,2016-04-04T00:00:00,2230.0,,,CA,,,HOND,PA,BR,643 E GAGE AVE,13X76,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
522,630993,1110300273,2016-04-02T00:00:00,1006.0,,,CA,201601.0,,TIOG,MH,BR,6TH E/O CROCKER,1FB1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
523,631047,1112906340,2016-04-10T00:00:00,547.0,,,CA,201612.0,,HOND,PA,BR,R/O 921 N LAKME AVE,00500,55.0,8061,STNDNG IN ALLEY,68.0,99999.0,99999.0
524,631048,1112906351,2016-04-10T00:00:00,548.0,,,CA,201607.0,,HOND,PA,BR,R/O 925 N LAKME AVE,00500,55.0,8061,STNDNG IN ALLEY,68.0,99999.0,99999.0
525,631127,1112914515,2016-04-10T00:00:00,710.0,,,CA,201607.0,,GMC,TR,BR,4001 PALMWOOD DR,00500,55.0,8056E4,RED ZONE,93.0,6457912.5,1827358.2
526,631130,1112944523,2016-04-03T00:00:00,705.0,,,CA,201602.0,,NISS,PA,BR,220 W 5TH STREET,1SL54,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
527,631171,1113007980,2016-04-01T00:00:00,1410.0,,,CA,201506.0,,FORD,VN,BR,STANFORD/23RD ST,00013,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
528,631284,1114090353,2016-04-08T00:00:00,832.0,,,CA,201607.0,,KIA,PA,BR,626 N LAFAYETTE PARK,00453,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
529,631359,1115837166,2016-04-04T00:00:00,1812.0,,,CA,201703.0,,FIAT,PA,BR,1225 HOPE ST,1FB95,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
530,638686,1109356205,2016-04-04T00:00:00,655.0,,,CA,201512.0,,GMC,TR,BR,GILMORE/WILKINSON,15EL1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
531,638794,1112157826,2016-04-12T00:00:00,310.0,,,CA,201508.0,,CHEV,PA,BR,401 WORLD WAY,3F92,2.0,4000A1,NO EVIDENCE OF REG,50.0,6437904.4,1801967.7
532,638801,1112169472,2016-04-05T00:00:00,2045.0,,,CA,,,HOND,PA,BR,400 WORLD WAY L/L,2C214,2.0,8939,WHITE CURB,58.0,6439911.5,1802686.8
533,646653,1109082472,2016-03-27T00:00:00,1555.0,,,CA,201610.0,,FORD,PA,BR,11277 ORCAS AVE,,4.0,8603,PK IN PROH AREA,68.0,99999.0,99999.0
534,646659,1109082601,2016-03-27T00:00:00,1558.0,,,CA,201609.0,,NISS,PA,BR,11277 ORCAS ST,,4.0,8603,PK IN PROH AREA,68.0,99999.0,99999.0
535,646757,1109127876,2016-03-23T00:00:00,2129.0,,,CA,201611.0,,BUIC,PA,BR,2800 E OBSERVATORY,,4.0,6344K7,PK OUTSD PK STL,58.0,6470141.4,1867430.4
536,646772,1109128241,2016-03-29T00:00:00,1843.0,,,WA,201605.0,,SUBA,PA,BR,6300 MULHOLLAND HWY,,4.0,8603,PK IN PROH AREA,68.0,6463420.3,1867413.4
