,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
1099,1438246,1110094101,2014-12-28T00:00:00,1340.0,,,CA,201409.0,,HOND,PA,BR,ELECTRIC/CALIFORNIA,00001,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
1100,1438524,1110363155,2015-01-20T00:00:00,1545.0,,,CA,201412.0,,CHEV,VN,BR,5068 SANTA MONICA,11A51,1.0,4000A1,NO EVIDENCE OF REG,50.0,6470909.9,1855574.5
1101,1447715,1109727054,2015-01-21T00:00:00,1006.0,,,CA,201310.0,,GMC,PA,BR,6653 FULTON,MQ16,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
1102,1447783,1109993054,2015-01-17T00:00:00,1710.0,,,CA,201504.0,,,PA,BR,9725 LAUREL CYN,MQ111,1.0,570,2251157B,363.0,6435058.2,1912299.2
1103,1447784,1109993065,2015-01-17T00:00:00,1710.0,,,CA,201504.0,,SATU,PA,BR,9725 LAUREL CYN,MQ111,1.0,225078A,HANDICAP/NO DP ID,363.0,6435058.2,1912299.2
1104,1447845,1110060980,2015-01-28T00:00:00,1219.0,,,CA,201401.0,,FORD,PA,BR,1413 W KENMORE AVE,00444,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
1105,1447846,1110060991,2015-01-28T00:00:00,1220.0,,,CA,201401.0,,FORD,PA,BR,1413 N KENMORE AVE,00444,54.0,099,5204,25.0,6471687.5,1857789.8
1106,1447849,1110375976,2014-01-25T00:00:00,1715.0,,,CA,201507.0,,NISS,PA,BR,970 S BERNAL,4FB2,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
1107,1456490,1107553086,2015-01-22T00:00:00,945.0,,,CA,201409.0,,HOND,PA,BR,17731 BLYTHE ST,10A3,1.0,4000A1,NO EVIDENCE OF REG,50.0,6404449.4,1901017.6
1108,1456625,1108280924,2015-01-26T00:00:00,2310.0,,,CA,201508.0,,HOND,PA,BR,SCHRADER/SELMA AV,6FB6,1.0,011,22500F,68.0,99999.0,99999.0
1109,1456686,1109647243,2015-01-29T00:00:00,1113.0,,,CA,,,OTHR,TR,BR,333 S HARVARD BL,00481,54.0,013,22500H,68.0,99999.0,99999.0
1110,1456713,1109648934,2015-01-29T00:00:00,1130.0,,,CA,,,UNK,TR,BR,138 N LARCHMONT BL,00477,54.0,018,22502A,63.0,6463660.8,1849340.1
1111,1456718,1109648982,2015-01-29T00:00:00,1418.0,,,CA,,,UNK,TR,BR,600 S CURSON AVE,00477,54.0,8069A,NO STOPPING/STANDING,93.0,6454263.5,1846191.5
1112,1456725,1109649310,2015-01-29T00:00:00,1522.0,,,CA,,,,TR,BR,322 S ST ANDREWS PL,00481,54.0,013,22500H,68.0,99999.0,99999.0
1113,1456757,1110367075,2015-01-22T00:00:00,1655.0,,,CA,201505.0,,HOND,PA,BR,111 W HILL ST,,1.0,8056E4,RED ZONE,93.0,6487014.2,1842302.6
1114,1456759,1110367090,2015-01-25T00:00:00,1625.0,,,CA,201406.0,,,PA,BR,228 60TH ST,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1115,1456760,1110367101,2015-01-25T00:00:00,1645.0,,,CA,,,CHEV,PA,BR,60TH ST W/O AVALON,,1.0,098,5200,25.0,99999.0,99999.0
1116,1456774,1110698875,2015-01-28T00:00:00,1636.0,,,CA,,,FRTL,TR,BR,400 S GAYLEY AVE,00123,51.0,8069AP,NO STOP/STAND PM,93.0,6424221.5,1848305.5
1117,1456948,1111874610,2015-01-20T00:00:00,1117.0,,,CA,201507.0,,TOYO,TR,BR,100 WORLD WAY L/L,2C6B,2.0,000,17104h,,99999.0,99999.0
1118,1457038,1111922044,2015-01-22T00:00:00,1752.0,,,CA,201509.0,,LEXU,PA,BR,700 WORLD WAY,3C10,2.0,8939,WHITE CURB,58.0,6439974.2,1801963.4
1119,1465493,1108615023,2015-01-24T00:00:00,915.0,,,CA,201405.0,,OLDS,PA,BR,OFARRELL/PACIFIC,5A59,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1120,1465585,1109650150,2015-01-31T00:00:00,809.0,WW604,,CA,201505.0,,TOYO,PA,BR,626 S ARDMORE AV,00484,54.0,8813B,METER EXPIRED,63.0,6470320.6,1845294.9
1121,1465588,1109650183,2015-01-31T00:00:00,817.0,WW513,,TX,201406.0,,BUIC,PA,BR,690 S HARVARD BL,00484,54.0,8813B,METER EXPIRED,63.0,6469543.0,1844378.4
1122,1465648,1110097564,2015-01-28T00:00:00,45.0,,,CA,201409.0,,FORD,PA,BR,827 N SIERRA BONITA,00702,1.0,4000A1,NO EVIDENCE OF REG,50.0,6454396.4,1853807.9
1123,1465833,1110786983,2015-01-30T00:00:00,1422.0,,,CA,,,GRUM,VN,BR,1150 W CYPRESS AV,00674,56.0,8056E4,RED ZONE,93.0,6441316.9,1772633.1
